hotel;reserva_cancelada;dias_entre_reserva_y_llegada;anio_llegada;mes_llegada;numero_semana_anio;dia_del_mes_llegada;numero_noches_finde;numero_noches_semanales;adultos;chicos;bebes;tipo_comida;pais_origen;segmento_mercado;canal_distribucion_reserva;huesped_repetido;numero_reservas_anteriores_canceladas;numero_reservas_anteriores_no_canceladas;tipo_habitacion_reservada;tipo_habitacion_asignada;numero_cambios_reserva;deposito;codigo_agencia;codigo_empresa;dias_espera_reserva;tipo_reserva;tarifa;n_cocheras_reservada;num_solicitudes_especiales
Resort Hotel;0;0;2015;July;27;1;0;2;2;0;0;BB;PRT;Direct;Direct;0;0;0;C;C;0;No Deposit;NULL;NULL;0;Transient;107;0;0
Resort Hotel;0;68;2015;July;27;1;0;4;2;0;0;BB;USA;Online TA;TA/TO;0;0;0;D;E;0;No Deposit;240;NULL;0;Transient;97;0;3
Resort Hotel;0;37;2015;July;27;1;0;4;2;0;0;BB;PRT;Offline TA/TO;TA/TO;0;0;0;E;E;0;No Deposit;8;NULL;0;Contract;97.5;0;0
Resort Hotel;0;70;2015;July;27;2;2;3;2;0;0;HB;ROU;Direct;Direct;0;0;0;E;E;0;No Deposit;250;NULL;0;Transient;137;0;1
Resort Hotel;0;113;2015;July;27;2;2;5;2;0;0;BB;NOR;Offline TA/TO;TA/TO;0;0;0;E;E;0;No Deposit;156;NULL;0;Transient-Party;82.88;0;2
Resort Hotel;0;10;2015;July;27;2;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;G;G;0;No Deposit;241;NULL;0;Transient;117.81;0;0
Resort Hotel;1;62;2015;July;27;3;0;2;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;NULL;0;Transient;97;0;1
Resort Hotel;0;3;2015;July;27;3;1;2;2;0;0;BB;ESP;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;90.9;1;0
Resort Hotel;0;72;2015;July;27;3;2;2;2;0;0;BB;DEU;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;105;NULL;0;Transient;110.7;1;0
Resort Hotel;0;99;2015;July;27;3;2;7;2;0;0;BB;FRA;Offline TA/TO;TA/TO;0;0;0;A;A;0;No Deposit;40;NULL;0;Contract;58.95;0;0
Resort Hotel;0;9;2015;July;27;3;0;1;2;0;0;BB;USA;Online TA;TA/TO;0;0;0;C;C;0;No Deposit;241;NULL;0;Transient;94.71;0;0
Resort Hotel;0;109;2015;July;27;3;0;1;2;0;0;BB;BEL;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;123;0;2
Resort Hotel;0;63;2015;July;27;3;2;5;3;0;0;HB;ESP;Offline TA/TO;TA/TO;0;0;0;E;E;0;No Deposit;105;NULL;0;Transient;196.54;0;1
Resort Hotel;0;92;2015;July;27;4;4;6;2;0;0;BB;GBR;Offline TA/TO;TA/TO;0;0;0;D;D;0;No Deposit;40;NULL;0;Contract;71.55;0;1
Resort Hotel;1;33;2015;July;27;4;0;1;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;NULL;0;Transient;113;0;0
Resort Hotel;0;32;2015;July;27;4;0;1;4;0;0;FB;PRT;Complementary;Direct;0;0;0;H;H;2;No Deposit;NULL;NULL;0;Transient;0;0;1
Resort Hotel;1;5;2015;July;28;5;1;0;2;0;0;BB;PRT;Online TA;TA/TO;0;0;0;D;D;0;No Deposit;240;NULL;0;Transient;97;0;0
Resort Hotel;0;29;2015;July;28;5;2;5;2;0;0;BB;IRL;Online TA;TA/TO;0;0;0;F;F;0;No Deposit;241;NULL;0;Transient;97.29;0;1
Resort Hotel;1;101;2015;July;28;5;2;5;2;0;0;HB;PRT;Online TA;TA/TO;0;0;0;A;A;0;No Deposit;240;NULL;0;Transient;114;0;1
Resort Hotel;0;21;2015;July;28;7;0;3;2;1;0;HB;PRT;Direct;Direct;0;0;0;F;F;0;No Deposit;250;NULL;0;Transient;185.5;0;1
